platinum_number,title,artist,language,genre
3518,Live And Let Die,Guns & Roses,English,
17246,Live From the Gutter,Drake And Future,English,
15463,Live It Up,Jennifer Lopez ft. Pitbull,English,
0732,Live To Tell,Madonna,English,
15119,Live While We're Young,One Direction,English,
17006,Live Without Your Love,Windjammer,English,
13663,Lived In The Shoe,Nursery Rhymes,English,
4276,Livin' La Vida Loca,Ricky Martin,English,
2757,Livin' On A Prayer,Bon Jovi,English,
16774,Living For Love,Madonna,English,
11251,Living For The Night,George Strait,English,
4606,Living In A World,Unknown,English,
3318,Living In America,Neil Diamond,English,
0885,Living In The Past,Jethro Tull,English,
4608,Living In The U.S.A.,Steve Miller Band,English,
0882,Living Next Door To,Smokie,English,
5454,Living On A Jet Plane,Jet Pangan Group,English,
8073,Living The Dream,Jennylyn Mercado,English,
8215,Living To Love You,Sarah Connor,English,
11331,Liwanag,Julianne,English,
11432,Liwanag,Callalily,Filipino,
17451,Liwanag,Zion Aquino ft Yeng,Filipino,
8129,Liwanag Sa Dilim,Rivermaya,Filipino,
8707,LKK,Milyonaryo,English,
3928,Load Out & Stay,Jackson Brown,English,
6587,Loaded,Ricky Martin,English,
2123,Lobo,Dulce,English,
17163,Locked Away,R. City ft Adam Levine,English,
15136,Locked Out Of Heaven,Bruno Mars,English,
48996,Locked Out Of Heaven,Bruno Mars,English,
3929,Locomotion,Osbourne,English,
0444,Lodi,CCR,English,
3520,Lola,The Kinks,English,
5620,Lollipop,Aqua,English,
9822,Lollipop,2NE1 & Big Bang,English,
16053,Lolo Jose,Coritha,English,
9897,London,Lily Allen,English,
1374,London Bridge,Various,English,
16877,London Bridge,Fergie,English,
15943,London By Night,Frank Sinatra,English,
4609,London Town,Paul Mccartney,English,
16894,Loneliness,Laura Pausini,English,
11534,Lonely,2ne1,English,
9315,Lonely,Akon,Filipino,
11800,Lonely Again,Ne-Yo,English,
4228,Lonely Boy,Paul Anka,English,
15728,Lonely In Love,Dan Fogelberg,English,
0253,Lonely Is The Night,Air Supply,English,
11502,Lonely Night,Princess Velasco,English,
8301,Lonely No More,Rob Thomas,English,
16931,Lonely Road,Everlast,English,
15469,Lonely Together,Barry Manilow,English,
6245,Lonesome Loser,Little River Band,English,
4611,Lonesome Tears,Buddy Holly,English,
7785,Lonestart,Norah Jones,English,
6434,Long And Winding Road,Luther Vandross,English,
2865,Long Cool Woman,The Hollies,English,
1127,Long Hair,Weedd,English,
6246,Long Live Rock,The Who,English,
8597,Long Long Time,Linda Ronstadt,English,
6435,Long Tall Sally,The Beatles,English,
6248,Long Time,Boston,English,
11309,Long Trip Alone,Dierks Bentley,English,
3931,Longer,Dan Fogelberg,English,
13525,Looby Loo,Traditional,English,
1501,Looby Loo,Traditional,English,
11095,Look After You,The Fray,English,
4612,Look At Me,Buddy Holly,English,
11549,Look At Me Now,Chris Brown Ft Lil Wayne &,English,
1585,Look In Her Eyes,Gary Valenciano,Filipino,
6249,Look Of Love,Burt Bacharach,English,
15944,Look To Your Heart,Frank Sinatra,English,
15650,Look Up,Ryzza Mae Dizon,English,
8053,Look What You've Done,Jet,English,
0418,Lookin' Out My Back,Ccr,English,
0886,Looking For Love,Johnny Lee,English,
5918,Looking Through The Eyes..,Melissa Manchester,English,
3197,Looks Like We Made It,Barry Manilow,English,
8245,Loose My Breath,Destiny's Child,English,
16770,Loose Wires,Kenna,English,
15444,Lord Patawad,Basilyo,English,
5498,Lorena,Renz Verano,English,
6374,Lorena,Willie Garte,English,
17297,Lose My Mind,Brett Eldredge,English,
11872,Lose Yourself,Eminem,English,
17566,Loser,Beck,English,
3524,Losing My Religion,REM,English,
16483,Losing The Love,Joy Enriquez,English,
9237,Lost,Michael Buble,English,
15668,Lost Generation,Rizzle Kicks,English,
0743,Lost In Emotion,Lisa Lisa,English,
0742,Lost In Love,Air Supply,English,
11666,Lost In Space,Lighthouse Family,English,
1707,Lost In Your Eyes,Debbie Gibson,English,
16135,Lost In Your Love,Redlight,English,
11226,Lost Without U,Robin Thicke,English,
3525,Lost Without Your Love,Bread,English,
17535,Lot To Learn,Luke Christopher,English,
11699,Louder,Charice,English,
11989,Lov Na Lov,Gloc 9 ft Lovie Poe,Filipino,
16136,Love,Jim Photoglo,English,
17740,Love,Randy Goodrum,English,
2599,Love,John Lennon,English,
7937,Love Ain't,Take That,English,
8037,Love And Marriage,Frank Sinatra,English,
9598,Love Bug,Jonas Brothers,English,
4229,Love Can Move Mountains,Celine Dion,English,
9072,Love Can't Lie,Sarah Geronimo,Filipino,
5286,Love Don't Cost A Thing,Jennifer Lopez,English,
11120,Love Drunk,Boys Like Girls,English,
9772,Love Games,Lady Gaga,English,
5499,"Love Gives, Love Takes",The Corrs,English,
5426,Love Her Madly,Doors,English,
8815,Love Hug,Bisrock,English,
0371,Love Hurts,Nazareth,English,
3514,Love Hurts & You Are...,Unknown,English,
2600,Love Is A Many Splendored...,Andy Williams,English,
4615,Love Is A Stranger,Annie Lennox,English,
3198,Love Is A Wonderful Thing,Michael Bolton,English,
1503,Love Is All Around,Wet Wet Wet,English,
8844,Love Is All I Need,Yasmien Kurdi,English,
5168,Love Is All That Matters,Eric Carmen,English,
0401,Love Is Blue,Al Martino,English,
8963,Love Is Contagious,Nina,Filipino,
6920,Love Is For Singing,Apo Hiking Society,Filipino,
3499,Love Is In The Air,John Paul Young,English,
0279,Love Is Love,Culture Club,English,
0229,Love Is Real,John Lennon,English,
11745,Love Is The Answer,England Dan & John Ford,English,
15252,Love Kita Noon,Haganas,English,
8359,Love Ko 'To,Kitchie Nadal,Filipino,
9702,Love Letter,Kitchie Nadal,Filipino,
15116,Love Letters,Nat King Cole,English,
1737,Love Makes No,Ce Ce Peniston,English,
11421,Love Me,Justin Bieber,English,
15167,Love Me,Samantha Chavez,English,
1586,Love Me,Elvis Presley,English,
17028,Love Me,Terri Gibbs,English,
6589,Love Me,Martin Mccutcheon,English,
9817,Love Me,Michael Cretu,English,
16076,Love Me Again,John Newman,English,
0408,Love Me Do,Beatles,English,
1022,Love Me For A Reason,Boyzone,English,
15924,Love Me For Me,Cher Llyod,English,
15015,Love Me For What I Am,Lobo,English,
5337,Love Me For What I Am,The Carpenters,English,
11277,Love Me If You Can,Toby Keith,English,
16835,Love Me Instead,Moira Dela Torre,Filipino,
17459,Love Me Kill Me,Maja Salvador,English,
17319,Love Me Like You,Little Mix Love Me Like You,English,
17136,Love Me Somebody,Bad Company,English,
2601,Love Me Tender,Elvis Presley,English,
0682,Love Me Tonight,Tom Jones,English,
9820,Love Me With All Of Your Heart,Engelbert Humperdinck,English,
8198,Love Moves In Mysterious...,Nina,Filipino,
17126,Love Myself,Hailee Steinfeld,English,
16253,Love Never Felt So Good,Michael Jackson and,English,
9368,Love Of A Lifetime,Firehouse,English,
11746,Love Of My Life,Jim Brickman,English,
16866,Love Of My Life,Brian McKnight Love Really Hurts,English,
3933,Love Of My Life,Queen,English,
5170,Love Of My Life,South Border,Filipino,
9073,Love Of My Life,Rachelle Ann Go,English,
0400,Love On The Rocks,Neil Diamond,English,
11871,Love On Top,Beyonce,English,
2907,Love Potion No.9,The Searchers,English,
11928,Love Radio Theme,Love Radio Theme,English,
16082,Love Rollercoaster,Red Hot Chili Peppers,English,
16252,Love Runs Out,One Republic,English,
11424,Love Shack,B-52's,English,
17825,Love So Right,Bee Gees,English,
15472,Love Somebody,Maroon Five,English,
5458,Love Somebody,Rick Springfield,English,
16107,Love Song,311,English,
9318,Love Song,Nancy Jane,English,
2602,Love Story,Andy Williams,English,
16075,Love Story (Where Do I...),Andy Williams,English,
8593,Love Team,Itchyworms,Filipino,
11338,Love The Way You Lie,Eminem ft Rihanna,English,
6588,Love To See You Cry,Enrique Iglesias,English,
4364,Love Will Keep Us Alive,Eagles,English,
0978,Love Will Keep Us Together,Neil Sedaka,English,
11749,Love Will Never Lie,Michael Learns To Rock,English,
9782,Love Will Set Us Free,The Dawn,English,
1588,Love Without Time,Nonoy Zuniga,English,
11260,Love You,Jack Ingram,English,
11667,Love You Down,Inoj,English,
17379,Love Yourself,Justin Bieber,English,
6436,Love's Been Good To,Frank Sinatra,English,
4618,Love's Made A Fool Of You,Buddy Holly,English,
9703,Love's So Beautiful,Noel Cabangon,English,
6590,Love's Terrain,F4,English,
17545,Lovefool,The Cardigans,English,
6252,Lovers Moon,Glenn Frey,English,
15159,Loves Grown Deep,Kenny Nolan,English,
2885,Lovesick Blues,Jimmy Buffet,English,
15381,Lovesong,Adele,English,
6951,Lovin' You,Nina,Filipino,
9622,Loving,Gabby Eigenman,English,
15017,Loving Arms,Kris Kristofferson,English,
15294,Loving You,Ric Segreto,English,
6253,Loving You,Minnie Riperton,English,
11825,Loving You Tonight,Andrew Allen,English,
8286,Low,Kelly Clarkson,English,
9359,Low,Flo Rida Ft. T Pain,English,
9362,Low (Bisaya),Bisaya Version,English,
6254,Low Man's Lyric,Metallica,English,
16295,Loyal,Chris Brown,English,
13649,Lubi Lubi,Unknown,English,
0887,Lucille,Little Richard,English,
15470,Lucille,Kenny Rogers,English,
4620,Luck Be A Lady,Frank Sinatra,English,
11096,Lucky,Jason Mraz feat. Colbie,English,
19729,Lucky,Jason Mraz feat. Colbie,English,
6982,Lucky,Britney Spears,English,
1375,Lucky Guy,Cascades,English,
16018,Lucky In Love,Paolo Onesa,English,
7975,Lucky Lips,Ruth Brown,English,
4343,Lucky Love,Ace Of Base,English,
9966,Lucky Man,The Verve,English,
0578,Lucky One,Amy Grant,English,
6671,Lucky Star,Madonna,English,
0163,Lucy In The Sky With...,The Beatles,English,
13650,Lucy Locket,Unknown,English,
5171,Luha,Aegis,Filipino,
6592,Lui Sing Yi,F4,English,
9001,Luisita,Bisrockluisita,English,
6437,Luka,Suzanne Vega,English,
9875,Lumang Simbahan,Traditional,English,
7077,Lumang Tugtugin,Apo,English,
11470,Lumapit,Archipelago,English,
0177,Lumayo Ka Man,Rodel Naval,English,
9074,Lumilipad,Ogie Alcasid,Filipino,
9576,Lumiliwanag,Moonstar 88,Filipino,
8194,Lumingon Ka Lang,Sarah Geronimo,Filipino,
16201,Lumuhod Man Ako,Zaito,Filipino,
5172,Lumuluha,Isabel Granada,English,
15651,Luna,Up Dharma Down,English,
0268,Lunatic,Gazebo,English,
8135,Lunes,Sponge Cola,English,
8845,Lunod,Danita,English,
3202,Lupa,Asin,English,
5502,Lupaypay,Ruffa Mae Quinto,English,
8816,Lupin (Lupin Ost),Janno Gibbs,English,
17579,Lush Life,Zara Larsson,English,
5504,Lutong Bahay,Parokya Ni Edgar,Filipino,
6256,Lying Eyes,Eagles,English,
1281,Maalaala Mo Kaya,Carmen Soriano,English,
9876,Maalala Mo Pa Rin,Richard Reynoso,Filipino,
9842,Maalala Mo Sana,Silent Sanctuary,Filipino,
9256,Maanad Raka,Scrambled Eggs,English,
17174,Maari Ba,Beverly Caimen,English,
17513,Mabuti Pa,Daryl Ong,English,
5985,Mabuti Pa No'ng Bata,Vst & Co.,Filipino,
8331,Mabuti Pa Sila,Gary Granada,English,
5700,Macarena,Los Del Rio,English,
3531,Macarthur Park,Jim Webb,English,
9562,Macho,Parokya Ni Edgar,Filipino,
8709,Macho Dancer,Milyonaryo,English,
7575,Macho Gwapito,Rico J.Puno,English,
11678,Macho Man,Village People,English,
7234,Macho Papa,Masculados,English,
8075,Machunurin,Masculados,English,
9541,Mad,Neyo,English,
16833,Mad World,Gary Jules !!,English,
7786,Madalas Kung Minsan,Aiza Seguerra,Filipino,
15806,Madaling Araw,Sylvia La Torre,English,
15705,Made In The USA,Demi Lovato,English,
7576,Madelyn,April Boy,English,
15414,Madness,Muse,English,
9266,Mag-aasawa Na Ako,Unknown,Filipino,
8077,Mag-Exercise,Vhong Navarro,English,
15262,Mag-usap,6 Cyclemind,English,
9075,Maganang Umaga,Vhong Navarro,English,
3203,Magandang Gabi,Nonoy Zuniga,English,
5505,Magasin,Eraserheads,Filipino,
11050,Magbabalik Ka Pa Ba,Nikki Gil,English,
6752,Magbago Ka,Sampaguita,English,
8595,Magbalik,Callalily,Filipino,
6753,Magbati Na Tayo,Marissa Sanchez,English,
15849,Magda,Glock9 ft. Rico Blanco,Filipino,
5986,Magdalena,Freddie Aguilar,English,
8710,Magdumil,Visayan Song,English,
6127,Magellan,Yoyoy Villame,English,
3534,Maggie May,Beatles,English,
17871,Maghihintay,Mark Allain,English,
5987,Maghihintay Ako,Rica Peralejo,Filipino,
7631,Maghihintay Ako,Carmela Cuneta,Filipino,
8547,Maghihintay Ako,Regine Velasquez,Filipino,
11486,Maghihintay Sa 'Yo,Jake Vargas,Filipino,
1578,Maghihintay Sa Iyo,Dingdong A.,English,
5621,Maghihintay Sa Iyo,Jessa Zaragosa,English,
7423,Maghihintay Sa Iyo,Carmela Cuneta,English,
1054,Maghintay Ka Lamang,Ted Ito,English,
11358,Magic,Selena Gomez,English,
16118,Magic,Coldplay,English,
5460,Magic,Michael Learns To Rock,English,
9399,Magic,Sino Sikat,English,
3582,Magic Girl,Pretty Sammy,English,
6257,Magic Man,Heart,English,
16897,Magical Feeling,M.Y.M.P.,English,
0500,Maging Sino Ka Man,Rey Valera,Filipino,
15354,Magkabilang Mundo,Jireh Lim,Filipino,
11177,Magkaibang Mundo,Hale,Filipino,
1249,Magkakabalikan Pa Ba,Imelda Papin,English,
1773,Magkasuyo Buong Gabi,Rico J. Puno,English,
9816,Magkasuyo Buong Gabi,Regine Velasquez And,Filipino,
5174,Magkayakap Na Puso,Vina Morales,Filipino,
8393,Magmahal Muli,Sam And Say,Filipino,
6672,Magmahalan Na,Dyna Souls,Filipino,
8342,Magmula Ngayon,Ogie Alcasid,Filipino,
7233,Magnanakaw,Asin,English,
4621,Magneto And Titanium Man,Paul Mccartney,English,
7577,Magnifica,Vst & Co.,English,
7337,Magnify The Lord,Michael O'shields,English,
6948,Magpakailan Man,Wency Cornejo,English,
15020,Magpakailan Pa Man,Ogie & Regine,Filipino,
7578,Magpakailan Pa Man,J.Brothers,English,
15019,Magpakailanman,Top Suzara,English,
8964,Magsasaya,6 Cycleminds,English,
6673,Magsaya Ng Magsaya,Rainbows,Filipino,
13651,Magtanim Ay Di Biro,Unknown,English,
9076,Magtiwala Ka (Fantastikids),Shamrock,English,
16834,Magulo Buhay Ng Tao,The Youth,Filipino,
15216,Mahaba Ang Gabi,Spongecola,Filipino,
9495,Mahagkan Kang Muli,Aiza Seguerra,Filipino,
1589,Mahal,Sharon Cuneta,Filipino,
7510,Mahal Ginagabi Ka Na Naman,Geraldine,Filipino,
8711,Mahal Hangtud Sa Lubnganan,Visayan Song,Filipino,
4965,Mahal Ka Sa Akin,Tootsie Guevarra,Filipino,
1151,Mahal Kita,Rey Valera,Filipino,
5887,Mahal Kita,Renz Verano,Filipino,
8937,Mahal Kita,Gerald Santos,Filipino,
6674,Mahal Kita Kahit Kailan,Junior,Filipino,
11478,Mahal Kita Kasi,Nicole Hyala,Filipino,
16427,Mahal Kita Pero,Janella Salvador,Filipino,
1590,Mahal Kita Walang Iba,Ogie Alcasid,Filipino,
9877,"Mahal Kita, Mahal Mo Siya...",Sharon Cuneta,Filipino,
16434,Mahal Ko O Mahal Ako,Kz Tandingan,Filipino,
5265,Mahal Mo Ba Ako,J.Magdangal,Filipino,
1251,Mahal Mo Ba Sya,Eva Eugenio,Filipino,
6438,Mahal Mo Ba'y Di Na,Roselle Nava,Filipino,
1378,Mahal Mo Pa Ba Ako,Sharon Cuneta,Filipino,
15824,Mahal Na Mahal Kita,Sam Concepcion,Filipino,
6700,Mahal Na Mahal Kita,Aegis,Filipino,
6754,Mahal Na Mahal Kita,Ransa C.,Filipino,
3212,Mahal Na Mahal Na Mahal Kita,April Boy Regino,Filipino,
8588,Mahal Naman Kita,Marri Nallos,Filipino,
9322,Mahal Pa Rin,Sam Milby,Filipino,
0482,Mahal Pa Rin Kita,Rockstar,Filipino,
5175,Mahal Pa Rin Kita,Lani Misalucha,Filipino,
7511,Mahal Saan Ka Nanggaling...,Imelda Papin,Filipino,
8713,Mahimo Ko Ba,Visayan Song,English,
7405,Mahirap Ang Maging,Andrew E.,Filipino,
1286,Mahiwaga,Ric Manrique,English,
15114,Mahiwaga,Join The Club,English,
17567,Mahiwagang Kamote,FrancisM,English,
8189,Mahiwagang Puso,Karylle,English,
7656,Maibabalik Ko Ba,Josh Santana,English,
16349,Main Chick,66 Kid Ink,English,
7512,Maisip Mo Lang Ako,Von Arroyo,Filipino,
8437,Majika,Kitchie Nadal,Filipino,
15028,Major Tom,Peter Schilling,English,
8330,Makaaasa Ka,Rivermaya,Filipino,
11022,Makapiling Ka,Spongecola,English,
1708,Makapiling Ka Sana,Dingdong Avanzado,English,
1591,Make Believe,Marco Sison,English,
6471,Make It Easy On Me,Steps,English,
11008,Make It Mine,Jason Mraz,English,
7078,Make It Real,The Jets,English,
0581,Make It Right,Lisa Stansfield,English,
3017,Make It With You,Bread,English,
15731,Make Love Stay,Dan Fogelberg,English,
6984,Make Me A Love Song,L.A.Lopez,English,
17066,Make Me An Island,Joe Dolan,English,
9340,Make Me Believe,Aicelle Santos,English,
0888,Make Me Smile,Chicago,English,
0838,Make The World Go,Willie Nelson,English,
15253,Make Up My Heart,Josie Aiello,English,
11484,Make You Feel My Love,Adele,English,
7882,Make You Mine,Nina,Filipino,
16775,Make You Sweat,Keith Sweat,English,
3940,Make Your Own Kind Of Music,Mama Cass,English,
8610,Makes Me Wonder,Maroon 5,English,
17422,Makin' Moves,Darren Espanto,English,
17645,Makin' Plans,Miranda Lambert,English,
0284,Making Love,Roberta Flack,English,
3941,Making Love Out Of Nothing...,Air Supply,English,
8340,Makita Kang Muli,Sugar Free,English,
8438,Makulay Na Buhay,Kitchie Nadal,Filipino,
7338,Makulit,Dj Alvaro,English,
15625,Malaya Ka Na,Armchairs,English,
7675,Malaya Ka Na,Lani Misalucha,English,
15652,Malayang Magmahal,Rivermaya,Filipino,
9623,"Malayo Man, Malapit Din Ako",Bayang Barrios,Filipino,
0481,Malayo Pa Ang Umaga,Rey Valera,Filipino,
16496,Mali,Shadow,English,
1283,Maligayang Pasko,Traditional,English,
7065,Maligayang Pasko,Siakol,Filipino,
13652,Maliit Na Pitsel,Unknown,English,
13653,Maliliit Na Gagamba,Unknown,English,
5266,Maling Akala,Chino Romero,English,
8250,Maling Akala,Brownman Revival,Filipino,
8714,Malipajon Ang Takna,Visayan Song,Filipino,
5992,Malupit Na Pag-Ibig,Victor Wood,English,
15531,Mama,Heintje,English,
4290,Mama,Spice Girls,English,
8417,Mama,Il Divo,English,
9012,Mama,Mantequilla,English,
9503,Mama,Charice Pempengco,English,
8870,Mama Mia,Abba,English,
16446,Mama's,Tim McGraw ft Faith Hill,English,
15413,Mama's Broken Heart,Miranda Lambert,English,
8166,Mama's Girl,Sexbomb,English,
3204,Mama's Pearl,Unknown,English,
16176,Mamahalin,Angeline Quinto,Filipino,
8078,Mamahalin,Ariel Rivera,Filipino,
9624,Mamahalin,Yasmien Kurdi,Filipino,
15333,Mamang Sorbetero,Celeste Legaspi,English,
6260,Mamasyal Sa Pilipinas,Juan Dela Cruz,English,
15411,Mamatay Man Ako,Jam Disciples,Filipino,
8519,Mamaw,Michael V.,English,
5176,Mambo No 5,Lou Bega,English,
15227,Mambobola,Zsa Zsa Padilla,English,
4624,Mame,Play,English,
8188,Mamimiss Kita,Father & Son,English,
11763,Man Down,Rihanna,English,
19744,Man Down,Rihanna,English,
4626,Man I Feel Like A,Unknown,English,
16456,Man In The Box,Alice In Chains Meanwhile Back At,English,
0980,Man In The Mirror,Michael Jackson,English,
16098,Man Of The Year,School Boy Q,English,
16915,Man On A Wire,The Script,English,
9704,Mana-Mana Lang `Yan,Gary Granada,English,
17760,Mananatili,Marlo Mortel & Janella,English,
8358,Mananatili,Freestyle,Filipino,
13527,Manang Biday,Ilocano Folk Song,English,
1648,Manang Biday,Ilocano Folk Song,English,
8715,Manang Nagpitakasan,Ilocano Song,English,
15062,Mandy,Westlife,English,
7217,Mandy,Barry Manilow,English,
5461,Maneater,Hall And Oates,English,
8565,Maneater,Nelly Furtado,English,
8345,Mang Jose,Parokya Ni Edgar,Filipino,
9625,Manhid,Regine Velasquez,Filipino,
15852,Manhid Ka,Vice Ganda,English,
15532,Maniac,Michael Sembello,English,
0837,Manic Monday,Bangles,English,
8079,Manila,Hotdog,Filipino,
9787,Manila,Sandwich,English,
5506,Manila Girl,Put3ska,English,
0322,Maniniwala Ba Ako,Roselle Nava,Filipino,
6261,Maniwala Ka,Aegis,Filipino,
7406,Maniwala Ka Sana,Parokya Ni Edgar,Filipino,
15732,Mano Po Ninong,Tarzan & Jane Mano Po Ninong Mano... 15733 Mabuhay Singers,English,
15106,Manong Guard,Emmanuelle And Yeng,Filipino,
9745,Manunumbalik Lamang,Yasmien Kurdi,English,
9257,Manyakis Blues,Scrambled Eggs,English,
8846,Mapagkunwari,Faith Cuneta,English,
7081,Mapansin,Paolo Santos,English,
16312,Maps,Maroon 5,English,
1219,Mardy,Eddie Peregrina,English,
3536,Margaritaville,Jimmy Buffet,English,
15247,Maria,Jason Fernandez,English,
15339,Maria,General Luna,English,
8847,Maria Flordeluna,Sheryn Regis,English,
8716,Mariang Palad,Sullivans,English,
8717,Marietta,Visayan Song,English,
6439,Marimar,Thalia,English,
9989,Married With Children,Oasis,English,
11491,Marry Me,Train,English,
17539,Marry Me,Jason Derulo,English,
11743,Marry The Night,Lady Gaga,English,
11554,Marry You,Bruno Mars,English,
11807,Marry Your Daughter,Brian Mcknight,English,
2175,Martha,"H,Avendano",English,
11026,Martilyo,Gloc 9 ft Dex of LDS,Filipino,
8480,Martyr Nyebera,Kamikazee,Filipino,
5623,Marupok Na Sumpa,Larry Miranda,English,
16869,Marvin Gaye,Charlie Puth ft Meghan,English,
47016,Marvin Gaye,Charlie Puth ft. Meghan,English,
13518,Mary Had A Little Lamb,Various,English,
1381,Mary Had A Little Lamb,Various,English,
15654,Mary Jane,Aegis,Filipino,
13654,Mary Mary Quite Contrary,Nursery Rhyme,English,
3537,Mary's Boy Child,Harry Belafonte,English,
8879,Mas Gusto Mo S'ya,Andrew E.,English,
5178,Mas Mahal Na Kita Ngayon,Michael V.,Filipino,
5087,Mas Que Nada,Sergio Mendez,English,
6709,Masakit,Hannah Villame,English,
8718,Masapol Ka Di,Visayan Song,English,
8242,Masaya,Bamboo,Filipino,
13655,Masaya Kung Sama Sama,Unknown,English,
6591,Masculados,Masculados,English,
17051,Maselang Bahaghari,Eraserheads,Filipino,
5507,Maskara,Eraserheads,Filipino,
9321,Maskara,Rivermaya,Filipino,
15022,Maskman Opening,Maskman Theme,English,
0351,Massachusetts,Bee Gees,English,
11747,Masterpiece,Atlantic Star,English,
8239,Mata,Mojo Fly,English,
9370,Mata Ng Diyos,Wolfgang,Filipino,
8719,Matag Litok Awiton,Visayan Song,English,
0545,Material Girl,Madonna,English,
8163,Matt Monroe Medley,Matt Monroe,English,
5267,Matud Mo,Visayan,English,
1171,Matud Nila,Visayan Song,English,
15035,Matututuhan Mo Rin,Rocksteddy,Filipino,
8720,Mauna Ka Bago Ako,Milyo Naryo,Filipino,
19698,Mawawala,Ogie Alcasid,Filipino,
6262,Maxwell's Silver,The Beatles,English,
9763,May 1,Archipelago,English,
8516,May B.O. Na Ako,Michael V.,Filipino,
0108,May Bukas Pa,Rico J. Puno,English,
7218,May Bukas Pa,Aegis,Filipino,
0173,May Crush Ako Sa'yo,Cinderella,Filipino,
16989,May Damdamin,Leo Valdez,English,
15945,May Each Day,Andy Williams,English,
1072,May Gusto Ako Sa Iyo,Wendell,Filipino,
7787,May Iba Pa,Aiza Seguerra,Filipino,
9878,May Isa Na Namang Kumagat...,Michael V.,English,
7082,May Kakaibang Kutob,Jason Martines,English,
1073,May Mahal Ka Nang Iba,Pal Villaluz,Filipino,
9705,May Minamahal,Rachel Alejandro,Filipino,
1593,May Pag-Asa Ba,Introvoys,Filipino,
0123,May Pag-Ibig Pa Ba,Bing Rodrigo,English,
11674,May Pag-Ibig Pa Ba,South Border,Filipino,
1243,May Pagtingin,Wendell,English,
8721,May Pulis Sa Ilalim Ng Tulay,Sullivans,Filipino,
6440,May Silangan Pa,Bing Rodrigo,English,
8627,May Tama Rin Ako,Jay-R Siaboc,Filipino,
15115,Maybe,Peabo Bryson & Roberta Flack,English,
7235,Maybe,King,English,
7657,Maybe,Neo Colours,English,
8008,Maybe,Sheryn Regis,English,
0457,Maybe Baby,Buddy Holly,English,
8434,Maybe It's You,Jolina Magdangal,English,
5268,Maybe This Time,Michael Murphy,English,
9784,Maybe This Time,Martin Nievera,Filipino,
3207,Maybe Tomorrow,Jackson 5,English,
9974,Maybe You Should,Kenny Rogers,English,
6492,Mayron Sayo’y Nagmamahal,Kuh Ledesma,Filipino,
3208,Mayroon Pang Pag-Asa,April Boy Regino,English,
8722,Maysa Abukel,Ilocano Song,English,
8723,Maysa Laeng,Ilocano Song,English,
9706,May’ron Pa Ring Pag,Jaya,English,
1899,Mazatlan,Mike Laure,English,
11121,Me & U,Cassie,English,
0194,Me & You & Dog Named Boo,Unknown,English,
7850,Me Agains The Music,Britney Spears,English,
3348,Me And Bobby Mcgee,Janis Joplin,English,
0355,Me And Mrs. Jones,Dr. Dre,English,
16167,Me And My Broken Heart,Rixton,English,
16949,Me And You,Nadine Lustre,Filipino,
16279,Me Feel,Michael Jackson,English,
17120,Me Now,Alice Cooper,English,
11618,Mean,Taylor Swift,English,
17133,Mean It,Kelsea Ballerini,English,
15898,Meet Me Halfway,Kenny Loggins,English,
6755,Meet Me Halfway,Jessa Zaragoza,Filipino,
11727,Megalomaniac,Incubus,English,
4630,Mellow Yellow,Donovan,English,
15807,Melody,Andy Gibb,English,
0352,Melody Fair,Bee Gees,English,
11805,Melt My Heart To Stone,Adele,English,
8225,Melt With You,China Crisis,English,
0446,Memories,Elvis Presley,English,
15071,Memories Of Our Dream,Eddie Peregrina,English,
1635,Memory,Barbra Streisand,English,
6875,Memory,Barry Manilow,English,
3539,Memphis Tenessy,Johnny Rivers,English,
1905,Mentira Mentira,Javier Solis,English,
5180,Mercury Blues,Alan Jackson,English,
11943,Mercy,Kanye West,English,
17076,Mercy,One Republic,English,
9920,Mercy,Duffy,English,
3209,Mercy Mercy Mercy,Marvin Gaye,English,
11568,Meron Akong Ano,Kamikazee,Filipino,
11248,Meron Ba,Kjwan,Filipino,
15473,Meron Ba,Barbie Forteza,English,
5624,Meron Ba?,Nikki Valdez,English,
15899,Meron Ng Iba,Silent Sanctuary Feat. Ashley,Filipino,
13656,Merrily We Roll Along,Unknown,English,
1461,Merry Chistmas To You,Traditional,English,
0048,Merry Christmas,Carpeters,English,
13505,Merry Christmas,Carpeters,English,
1442,Merry Christmas Darling,The Carpenters,English,
13787,Merry Little Christmas,"Kid Songs Head, Shoulders",English,
4632,Merry Xmas Everybody,Unknown,English,
3540,Message In A Bottle,Police,English,
9548,Message In A Bottle,The Dawn,English,
16982,Metalingus,Alter Bridge,English,
7101,Meteor Rain,F4,English,
6080,Metoor Something Strange,Unknown,English,
3958,Mexican Girl,Smokie,English,
6797,Mga Babong,"Tito, Vic & Joey",English,
11986,Mga Kababayan,Francis M,English,
16950,Mga Langaw,Grin Department,English,
8724,Mga Tipik Sa Damgo,Visayan Song,English,
8725,Mibalik Ako,Visayan Song,Filipino,
3959,Michael Row The Boat Ashore,The Kingsmen,English,
2603,Michelle,The Beatles,English,
7059,Michico Latino,Gerri Halliwell,English,
5508,Mickey,Toni Basin,English,
9382,Midinite Special,Jeepney Joyride,English,
2607,Midnight Blue,E.L.O.,English,
0889,Midnight Confession,The Grass Roots,English,
15657,Midnight Girl,Christian Vega,English,
4634,Midnight Hour,Wilson Pickett,English,
2680,Midnight Lady,Chris Norman,English,
